,paper_id,input,output
10,SP:97911e02bf06b34d022e7548beb5169a1d825903,"VAE - based approach USED-FOR unsupervised learning of disentangled representations of image data. approach USED-FOR VAEs. VAEs CONJUNCTION pair - wise linear transformations. pair - wise linear transformations CONJUNCTION VAEs. pair - wise linear transformations FEATURE-OF latent spaces. ELBO objectives USED-FOR VAE. decoding accuracy EVALUATE-FOR linearly transformed latent samples. L2 similarity objective CONJUNCTION cross - model decoding objective. cross - model decoding objective CONJUNCTION L2 similarity objective. decoding accuracy EVALUATE-FOR cross - model decoding objective. cross - model decoding objective HYPONYM-OF pressures. L2 similarity objective HYPONYM-OF pressures. pressures PART-OF objective. cross - model decoding objective PART-OF objective. ELBO objectives PART-OF objective. model COMPARE baselines. baselines COMPARE model. disentangling metric EVALUATE-FOR baselines. disentangling metric EVALUATE-FOR model. OtherScientificTerm are VAE latent space, VAE latent spaces, and linear transformations. ",This paper proposes a VAE-based approach for unsupervised learning of disentangled representations of image data. The proposed approach is motivated by the observation that VAEs and pair-wise linear transformations of the latent spaces of VAEs can be seen as a natural extension of the VAE latent space. The paper proposes an objective that combines two existing ELBO objectives for VAE to improve the performance of VAE by introducing two additional pressures: an L2 similarity objective and a cross-model decoding objective that aims to improve decoding accuracy for linearly transformed latent samples. The authors show that the proposed objective can be viewed as a combination of the two previous works that have been proposed in the literature. The main contribution of the paper is that the authors propose to learn VAEs in a way that is compatible with linear transformations. The model is evaluated on a disentangling metric and compared to several baselines.
11,SP:97911e02bf06b34d022e7548beb5169a1d825903,ensemble framework USED-FOR learning disentangled representations. Variational Autoencoders ( VAEs ) USED-FOR ensemble framework. Variational Autoencoders ( VAEs ) USED-FOR learning disentangled representations. VAEs USED-FOR entangled latent representations. linear mappings USED-FOR alignment of latent representations. linear mappings USED-FOR disentanglement. alignment of latent representations CONJUNCTION disentanglement. disentanglement CONJUNCTION alignment of latent representations. VAEs PART-OF VAE ensemble approach. linear mappings USED-FOR VAEs. approach COMPARE VAE. VAE COMPARE approach. approach COMPARE FactorVAE. FactorVAE COMPARE approach. dSprites CONJUNCTION CelebA. CelebA CONJUNCTION dSprites. beta - VAE CONJUNCTION FactorVAE. FactorVAE CONJUNCTION beta - VAE. approach COMPARE beta - VAE. beta - VAE COMPARE approach. VAE CONJUNCTION beta - VAE. beta - VAE CONJUNCTION VAE. FactorVAE disentanglement metric CONJUNCTION Distance to Orthogonality ( DtO ) metric. Distance to Orthogonality ( DtO ) metric CONJUNCTION FactorVAE disentanglement metric. FactorVAE disentanglement metric EVALUATE-FOR baseline methods. VAE COMPARE FactorVAE. FactorVAE COMPARE VAE. dSprites EVALUATE-FOR FactorVAE. Distance to Orthogonality ( DtO ) metric EVALUATE-FOR approach. FactorVAE disentanglement metric EVALUATE-FOR approach. dSprites EVALUATE-FOR approach. OtherScientificTerm is latent space structure. Method is disentangled representations. Generic is framework. ,"This paper proposes an ensemble framework for learning disentangled representations using Variational Autoencoders (VAEs). The VAE ensemble approach consists of several VAEs that learn entangled latent representations using linear mappings to encourage alignment of latent representations and disentanglement. The latent space structure of the latent representations is then used to train the disentrained representations. The proposed framework is evaluated on dSprites, CelebA, where the proposed approach outperforms VAE, beta-VAE, FactorVAE and the Distance to Orthogonality (DtO) metric of baseline methods."
12,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,method USED-FOR AutoML. meta module USED-FOR method. zero - shot / real - time AutoML HYPONYM-OF model evaluations. graph structure USED-FOR meta module. Generic is pipeline. Task is supervised learning task. Method is meta - training. ,"This paper proposes a method for AutoML that uses a meta module that takes into account the graph structure of the input data. The proposed pipeline is based on the idea that model evaluations (e.g., zero-shot/real-time AutoML) should be performed in a supervised learning task, and that the meta-training should be done in an unsupervised manner."
13,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,"dataset EVALUATE-FOR ML pipeline. datasets USED-FOR neural network. Generic is pipelines. Method are AutoML algorithms, and NN. OtherScientificTerm is pipeline. ","This paper proposes to evaluate an ML pipeline on a single dataset, rather than on a large number of datasets. The idea is to train pipelines on a small number of data points and then evaluate the performance on a larger dataset. The authors propose AutoML algorithms, where the goal is to find a pipeline that performs best on a given dataset. This is done by training a neural network on a set of datasets and then evaluating the performance of the NN on the new dataset."
14,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,meta - features USED-FOR meta - learning. language models USED-FOR AutoML meta - learning. auto - sklearn CONJUNCTION TPOT. TPOT CONJUNCTION auto - sklearn. TPOT HYPONYM-OF AutoML systems. auto - sklearn HYPONYM-OF AutoML systems. deep learning components USED-FOR AutoML recommendation architecture. ,"This paper proposes to use meta-features for meta-learning in AutoML by leveraging language models. Two AutoML systems (i.e., auto-sklearn and TPOT) are proposed for this purpose. The authors also propose a new AutoML recommendation architecture based on deep learning components."
15,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,gradient descent USED-FOR neural networks. GD USED-FOR compositionality. ,"This paper studies gradient descent in neural networks. The authors argue that GD can be used to improve compositionality. The paper is well-written and well-motivated. However, there are a few issues that need to be addressed."
16,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"gradient descent training USED-FOR model. gradient descent training USED-FOR compostionality. redundant information USED-FOR gradient descent trained model. Method is gradient descent. OtherScientificTerm are mapping, and model architecture. ","This paper studies the effect of gradient descent training on the model’s compostionality. The authors argue that gradient descent trains a model with redundant information, and that this redundant information can be used to improve the performance of the gradient descent trained model. To this end, the authors propose a mapping from the input to the model architecture."
17,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,gradient descent methods USED-FOR compositionality. gradient descent methods USED-FOR compositional generalization of models. compositionality CONJUNCTION compositional generalization of models. compositional generalization of models CONJUNCTION compositionality. optimization process USED-FOR models. conditional independence USED-FOR compositionality. neuro - symbolic approaches CONJUNCTION common sense reasoning. common sense reasoning CONJUNCTION neuro - symbolic approaches. common sense reasoning CONJUNCTION disentangled representation. disentangled representation CONJUNCTION common sense reasoning. vision CONJUNCTION language. language CONJUNCTION vision. language CONJUNCTION neuro - symbolic approaches. neuro - symbolic approaches CONJUNCTION language. compositionality PART-OF human intelligence. disentangled representation HYPONYM-OF AI / ML. vision HYPONYM-OF AI / ML. language HYPONYM-OF AI / ML. common sense reasoning HYPONYM-OF AI / ML. neuro - symbolic approaches HYPONYM-OF AI / ML. visual reasoning HYPONYM-OF representative problems. compositionality CONJUNCTION compositional generalization. compositional generalization CONJUNCTION compositionality. compositionality HYPONYM-OF quantitative approaches. compositional generalization HYPONYM-OF quantitative approaches. Method is optimizers. OtherScientificTerm is Raven progressive matrices. ,"This paper proposes gradient descent methods to improve compositionality and compositional generalization of models. The authors argue that the optimization process of models should be compositional, and that compositionality can be achieved through conditional independence. They propose to use Raven progressive matrices to encourage the optimizers to learn compositionality. They show that the compositionality of human intelligence can be observed in a variety of AI/ML, including vision, language, neuro-symbolic approaches, common sense reasoning, disentangled representation, etc. They also show that representative problems such as visual reasoning can be learned. They discuss the relationship between compositionality in human intelligence and other quantitative approaches such as compositional learning, compositional generative learning, and compositionally generalization."
18,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,"approach USED-FOR KG embedding. NeoEA USED-FOR KG embedding. ontology knowledge USED-FOR KG embedding. TransE USED-FOR scoring functions. constraints COMPARE baselines. baselines COMPARE constraints. Method are embedding - based entity alignment methods, and NeoEA architecture. OtherScientificTerm are embedding features, and KG - invariant ontology knowledge. ","This paper presents an approach to learn KG embedding using ontology knowledge, which is an important problem for embedding-based entity alignment methods. The authors propose a new approach called NeoEA to learn the KG of an entity using only embedding features. The core idea of the proposed NeoEA architecture is to use TransE as the scoring functions, and then use the scores obtained by TransE to train the score of the embedding of the entity using KG-invariant ontology. The proposed constraints are compared to several baselines."
19,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,"Entity alignment USED-FOR cross - lingual knowledge graphs. embedding - based methods USED-FOR semantic space. embedding space FEATURE-OF cross - lingual KGs. conditional neural and basic axioms USED-FOR labelled data. OtherScientificTerm are entity cross knowledge graphs, entity - level granular, and neural axioms. ","Entity alignment is an important problem for cross-lingual knowledge graphs. However, existing embedding-based methods do not capture the semantic space of the entity cross knowledge graphs and do not consider entity-level granular. This paper proposes to use neural axioms to model the embedding space of cross-languages KGs. Specifically, the authors propose conditional neural and basic axiom for modelling the labelled data."
20,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,"embedding spaces USED-FOR KGs. margin USED-FOR less constrained / long - tail entities. models USED-FOR entity alignment. model COMPARE models. models COMPARE model. SEA CONJUNCTION RDGCN. RDGCN CONJUNCTION SEA. model USED-FOR RDGCN. model USED-FOR SEA. OtherScientificTerm are conditional ) neural axioms, and OWL2 properties. Generic is method. ","This paper proposes to learn embedding spaces for KGs using (conditional) neural axioms. Specifically, the authors propose to use margin to model less constrained/long-tail entities. The authors show that the proposed method is able to achieve state-of-the-art performance on both SEA and RDGCN using the proposed model. The proposed model is shown to outperform existing models for entity alignment in terms of (OWL2 properties)."
21,SP:0e42de72d10040289283516ec1bd324788f7d371,deep model USED-FOR visual recognition tasks. accuracy CONJUNCTION energy consumption. energy consumption CONJUNCTION accuracy. differentiable network architecture search ( DARTS ) USED-FOR deep model. phase mask PART-OF lensless camera. 2D convolutions USED-FOR phase mask. face recognition CONJUNCTION head pose estimation. head pose estimation CONJUNCTION face recognition. image classification CONJUNCTION face recognition. face recognition CONJUNCTION image classification. simulated data USED-FOR vision tasks. real world camera FEATURE-OF fabricated masks. vision tasks EVALUATE-FOR method. masks USED-FOR method. head pose estimation HYPONYM-OF vision tasks. image classification HYPONYM-OF vision tasks. face recognition HYPONYM-OF vision tasks. simulated data EVALUATE-FOR method. energy level USED-FOR recognition. OtherScientificTerm is sensor configuration. Method is architecture search. ,"This paper proposes a differentiable network architecture search (DARTS) to train a deep model for visual recognition tasks that aims to balance accuracy and energy consumption. The key idea is to add a phase mask to a lensless camera using 2D convolutions. The proposed method is evaluated on simulated data as well as on vision tasks (image classification, face recognition, and head pose estimation) using fabricated masks from a real world camera. The paper shows that the energy level of the recognition can be controlled by the sensor configuration and the architecture search."
22,SP:0e42de72d10040289283516ec1bd324788f7d371,method USED-FOR CNN - powered Phlatcam. SACoD USED-FOR CNN - powered Phlatcam. PhlatCam sensor CONJUNCTION backend CNN model. backend CNN model CONJUNCTION PhlatCam sensor. method USED-FOR PhlatCam sensor. method USED-FOR backend CNN model. coded mask PART-OF Phlatcam. convolution layer FEATURE-OF coded mask. optical layer HYPONYM-OF coded mask. energy saving CONJUNCTION model compressing. model compressing CONJUNCTION energy saving. model compressing CONJUNCTION accuracy. accuracy CONJUNCTION model compressing. model compressing EVALUATE-FOR it. energy saving EVALUATE-FOR it. accuracy EVALUATE-FOR it. OtherScientificTerm is neural network weights. ,"This paper proposes a method called SACoD to improve the performance of CNN-powered Phlatcam. The method is applied to both the PhlatCam sensor and the backend CNN model. The main idea is to add a coded mask to the convolution layer, which is similar to the optical layer used in the original neural network weights. Experiments show that it improves the energy saving, model compressing, and accuracy."
23,SP:0e42de72d10040289283516ec1bd324788f7d371,"convolutional neural network design USED-FOR task. PhlatCam HYPONYM-OF lensless imaging system. limited resource budgets FEATURE-OF IoT system. task accuracy ’s EVALUATE-FOR IoT devices. optical layer design USED-FOR features. SACoD sensor + CNN COMPARE baseline models. baseline models COMPARE SACoD sensor + CNN. SACoD COMPARE sensor / CNN joint - optimizations. sensor / CNN joint - optimizations COMPARE SACoD. accuracy / efficiency curve EVALUATE-FOR SACoD. ablation studies EVALUATE-FOR SACoD. Generic is framework. OtherScientificTerm are network architecture, phase masks, and mask fabrication process. ","This paper proposes a novel framework called SACoD (Self-Controlled Autoencoders with Gradient Co-Optimization) to improve the task accuracy’s of IoT devices with limited resource budgets. The proposed framework is based on a convolutional neural network design for a given task, where the network architecture is trained on a set of phase masks, and the optical layer design is used to encode the features. The paper presents a lensless imaging system, called PhlatCam, to demonstrate the effectiveness of the proposed mask fabrication process. The SACOD sensor + CNN is compared with several baseline models, and compared to sensor/CNN joint-optimizations, and shows a significant improvement in accuracy/efficiency curve. The authors also conduct ablation studies to show the effectiveness and efficiency of SACoders."
24,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,"method USED-FOR non - negative matrix factorization. non - negative matrix factorization USED-FOR timeseries. longitudinal honey bee interaction data EVALUATE-FOR it. basis functions USED-FOR lifetime embedding. regularizations FEATURE-OF temporal basis functions. regularizations CONJUNCTION embedding coefficients. embedding coefficients CONJUNCTION regularizations. Generic is model. OtherScientificTerm are factors, global trajectory, factor embedding, and 32 - dimensional space. ","This paper proposes a method for non-negative matrix factorization for timeseries. The model is based on the observation that the factors can be expressed as a global trajectory, and it is evaluated on longitudinal honey bee interaction data. The key idea is to learn basis functions for the lifetime embedding, which is a 32-dimensional space, and to use these basis functions as regularizations for temporal basis functions. The authors show that the factor embedding is invariant to these regularizations and embedding coefficients."
25,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,"2 - d tensor FEATURE-OF matrix. method COMPARE non - negative variant. non - negative variant COMPARE method. PARAFAC / CANDECOMP HYPONYM-OF non - negative variant. Method are matrix factorization model, modeling framework, and tensor methods. Generic is problem. Task is * tensor * factorization problem. ","This paper proposes a matrix factorization model. The problem is formulated as a matrix on a 2-d tensor, and the authors propose a modeling framework for the problem. The proposed method is compared to a non-negative variant called PARAFAC/CANDECOMP. The authors also provide a theoretical analysis of the *tensor* factorization problem. Finally, the authors conduct experiments to compare the proposed tensor methods."
26,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,A CONJUNCTION F. F CONJUNCTION A. social datasets USED-FOR F. Method is NMF formulation. OtherScientificTerm is embeddings. ,"This paper proposes an extension of the NMF formulation to the case where the embeddings of A and F are given by social datasets. The main contribution of this paper is to provide a theoretical analysis of the relationship between A, F, and A. "
27,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,MR physics USED-FOR data augmentation methods. pixel preserving augmentations CONJUNCTION general affine augmentations. general affine augmentations CONJUNCTION pixel preserving augmentations. image domain FEATURE-OF real and imaginary values. real and imaginary values FEATURE-OF general affine augmentations. general affine augmentations PART-OF augmentation. pixel preserving augmentations PART-OF augmentation. data generation USED-FOR accelerated MRI task. k - space data USED-FOR data generation. Task is accelerated MRI. OtherScientificTerm is k - space domain. Generic is schedules. ,This paper studies the problem of data augmentation methods based on MR physics. The proposed augmentation consists of pixel preserving augmentations and general affine augmentations with both real and imaginary values in the image domain. The data generation for accelerated MRI task is based on k-space data. The authors propose two schedules for the accelerated MRI. The first schedule is to generate the data in the k-spaces domain and the second schedules are to generate data on the real space.
28,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,data - augmentation pipeline USED-FOR MRI reconstruction. k - space data USED-FOR image reconstructions. noise characteristics FEATURE-OF image data. it USED-FOR small training sets. Generic is pipeline. Method is data augmentation. Material is problem domain. ,This paper proposes a new data-augmentation pipeline for MRI reconstruction. The pipeline is based on the idea that image reconstructions on k-space data can be improved by adding noise characteristics to the image data. The authors show that the proposed data augmentation is effective and that it can be applied to small training sets. The paper also provides a theoretical analysis of the problem domain.
29,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,data augmentation USED-FOR accelerated MRI reconstruction. data augmentation USED-FOR method. image augmentation methods USED-FOR problem. complex valued FEATURE-OF MR images. transformations USED-FOR noise distribution. Material is MRI data. ,This paper proposes a method for accelerated MRI reconstruction using data augmentation. The problem is well-motivated by the fact that MR images have a complex valued and the existing image augmentation methods fail to address this problem. The proposed method is based on the observation that the noise distribution of MRI data can be approximated by simple transformations.
30,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,decomposition way of feature PART-OF computer vision. latent vector of the encoder USED-FOR feature. comparator loss USED-FOR latent vector of the encoder. OtherScientificTerm is network structure. Method is encoder. ,This paper proposes a decomposition way of feature in computer vision. The key idea is to use the latent vector of the encoder as a feature and use a comparator loss to compare the latent vectors of different layers of the network structure. The encoder is then used to decompose the feature.
31,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,"order learning USED-FOR ordinal classification function. Generic are methods, and approach. ",This paper proposes to use order learning to learn an ordinal classification function. The main contribution of this paper is that it proposes a novel approach that is based on the observation that existing methods do not generalize well to unseen data points. This is an interesting idea and the paper is well-written and well-motivated.
32,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,"task related features CONJUNCTION non - task related features. non - task related features CONJUNCTION task related features. task related features PART-OF encoding feature space. it USED-FOR estimating rank. MAP estimation algorithm USED-FOR rank. extension USED-FOR clustering algorithm. repulsive term USED-FOR clustering algorithm. repulsive term USED-FOR extension. Generic is It. OtherScientificTerm are comparator, and max possible rank. ",This paper proposes an extension to the clustering algorithm by adding a repulsive term to the encoding feature space that encourages task related features and non-task related features to be close to each other. It is based on the idea that the comparator should not be too far away from the max possible rank. The authors show that it can be used for estimating rank using the MAP estimation algorithm.
33,SP:a5775441639529d61b7fee4b4298fd82a0c93bb5,"exploration algorithm USED-FOR procedurally generated environments. RAPID HYPONYM-OF exploration algorithm. local and global score PART-OF exploration scores. OtherScientificTerm are local score, and global score. ","This paper proposes a new exploration algorithm, RAPID, for procedurally generated environments. The main idea is to combine the local and global score in the exploration scores. The local score is used to estimate the difficulty of the environment, while the global score measures the quality of the generated environment."
34,SP:a5775441639529d61b7fee4b4298fd82a0c93bb5,exploration method USED-FOR procedurally - generated environments. RAPID HYPONYM-OF exploration method. local score CONJUNCTION global score. global score CONJUNCTION local score. exploration scores CONJUNCTION local score. local score CONJUNCTION exploration scores. global score USED-FOR long - term and historical view of exploration. local score USED-FOR per - episode view of the exploration behavior. exploration scores CONJUNCTION extrinsic reward. extrinsic reward CONJUNCTION exploration scores. extrinsic reward USED-FOR episodic exploration score. episodic exploration score USED-FOR state - action pairs. state - of - the - art algorithms USED-FOR procedurally - generated environments. OtherScientificTerm is exploration behavior. Method is agent. ,"This paper proposes RAPID, an exploration method for procedurally-generated environments, which is a generalization of the state-of-the-art exploration method (Chen et al., 2018). The main idea is to combine exploration scores, local score, and global score to provide a long-term and historical view of exploration. The local score is used to capture a per-episode view of the exploration behavior, while the global score captures the per-step view of each episode. The exploration scores and the extrinsic reward are used to generate an episodic exploration score for state-action pairs, which are then used to train the agent. The experiments show that the proposed algorithm outperforms the state of the-art algorithms on procedurally generated environments."
35,SP:a5775441639529d61b7fee4b4298fd82a0c93bb5,"deep RL USED-FOR procedurally - generated environments. exploration USED-FOR deep RL. exploration USED-FOR procedurally - generated environments. global exploration score CONJUNCTION extrinsic reward. extrinsic reward CONJUNCTION global exploration score. local exploration score CONJUNCTION global exploration score. global exploration score CONJUNCTION local exploration score. local exploration score EVALUATE-FOR agent - generated episode. behavioral cloning USED-FOR policy. policy USED-FOR agent - generated episodes. Method are exploration techniques, and RAPID. Generic is approach. OtherScientificTerm is replay buffer. ","This paper proposes to use exploration in deep RL in procedurally-generated environments to improve the performance of exploration in the context of deep RL. The proposed approach, called RAPID, is motivated by the observation that existing exploration techniques do not generalize well to new environments. To address this issue, the authors propose to use behavioral cloning to learn a policy that can generate agent-generated episodes with a local exploration score, a global exploration score and an extrinsic reward. The authors also propose a replay buffer to store the agent's experience from previous episodes."
